date,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3,NH3,TP,DTP,PO4,Chla,TOC,TC,FC,w,Irrad,cell
2017-02-27,6.1,8,13.8,2.7,7.7,7.2,561,4.478,4.252,3.701,0.106,0.029,0.012,0,31.1,5,143,1,1.1,8.9,0.001
2017-03-07,7.2,8.1,13.6,2.5,7.2,8.2,555,4.505,4.355,3.613,0.116,0.035,0.015,0,37.3,5.5,73,1,2.1,10.2,0.001
2017-03-13,8.2,8,14,3.7,8,7.6,539,4.133,3.876,3.328,0.195,0.041,0.013,0,43.2,5.8,52,0,1.1,8.8,0.001
2017-03-20,9.5,8.3,14,3.6,7,7,504,3.951,3.658,3.187,0.027,0.032,0.013,0,31.2,5.2,41,1,0.6,0.9,0.001
2017-03-27,10.7,8.1,12.3,2.7,6.7,4.4,528,3.883,3.714,3.222,0.053,0.029,0.014,0,13,4.6,105,1,1.3,6.9,0.001
2017-04-03,12.2,8.2,12.3,2.9,7.2,4.6,557,4.045,3.715,3.229,0.03,0.039,0.018,0.003,23.1,4.6,86,0,1.7,11.9,0.001
2017-04-10,13.8,7.9,11.8,3.1,6.6,6.4,526,3.929,3.609,2.88,0.096,0.048,0.014,0,32,5.1,530,3,2.4,8.5,0.001
2017-04-18,15.6,8,10,2.2,5.8,1.6,450,3.307,3.038,2.451,0.09,0.034,0.018,0,12.7,4.1,2100,20,2,7.5,0.001
2017-04-24,16.4,7.9,9.8,1.8,5.8,5.6,416,2.92,2.907,2.352,0.06,0.04,0.017,0.003,15.4,4.1,930,5,2.2,12.1,0.001
2017-05-02,17.8,7.6,7.8,1.8,5.3,1.6,429,3.493,2.777,2.317,0.156,0.024,0.02,0.008,2.5,3.9,410,1,1.1,11.7,0.001
2017-05-08,19.2,8,9,2,6,3.2,406,2.696,2.562,2.012,0.04,0.026,0.015,0,12.6,3.8,2150,4,1.1,6,0.001
2017-05-15,19.6,8,8.2,1.5,5.4,3.6,420,2.458,2.295,1.896,0.069,0.027,0.015,0.004,10.9,3.8,1280,1,2.3,11.3,0.001
2017-05-22,20.5,8,7.7,1.8,5.6,2.8,461,2.918,2.54,2.024,0.097,0.024,0.013,0,8.4,3.4,5750,1,1.4,13.1,42
2017-05-29,22.3,7.9,6.5,1.6,6.4,3,492,3.008,2.881,1.872,0.189,0.055,0.022,0.011,7.7,4.6,540,1,1.6,12.8,254
2017-06-05,23.8,8.5,9.3,2.7,7.3,5.6,525,2.7,2.428,1.782,0.072,0.032,0.018,0,21.9,5,520,1,1.7,11.3,50515
2017-06-12,24,8.8,11.6,3.2,8.5,6.4,564,2.461,2.254,1.613,0.082,0.037,0.017,0,29.7,6.4,5000,60,1.4,6,204220
2017-06-19,24.3,8.4,7.9,1.3,6.8,3.6,541,2.266,2.046,1.386,0.182,0.044,0.018,0.004,9.2,5,128,1,1.5,12.3,123570
2017-06-26,25.3,8.5,7.5,1.9,7.5,7.2,496,2.125,1.945,1.197,0.232,0.054,0.029,0.015,15,5.9,2350,88,1,0.8,68200
2017-07-03,26.4,8.4,7.9,2.9,7.9,7.4,574,2.965,2.515,1.645,0.233,0.103,0.044,0.027,22.5,5.6,153,5,2.1,3.8,107598
2017-07-10,27.8,7.9,9,2.3,6.7,7.4,323,1.434,1.381,0.783,0.131,0.049,0.03,0.022,28.2,4.9,243,57,2.6,1.4,7275
2017-07-17,27.9,7.4,5.8,2.3,8.9,41,226,2.467,2.321,1.55,0.112,0.079,0.039,0.032,22.6,5.7,218,57,1.4,2.9,9000
2017-07-24,29.1,8.1,9.5,2.5,6.7,9.6,251,2.168,2.019,1.414,0.054,0.062,0.02,0.007,36.8,4.9,100,16,0.9,5.9,46309
2017-07-31,27.2,7.5,8.4,1.4,5.9,12.6,232,2.484,2.266,1.685,0.115,0.074,0.042,0.039,13.8,4,400,122,0.9,0,1728
2017-08-07,27.8,7.9,10.2,2.1,8.3,11.8,188,2.43,2.148,1.549,0.017,0.082,0.052,0.038,24,6.3,278,20,1.2,12,2977
2017-08-16,26,7.4,7.8,2.1,8.1,39.8,245,3.09,2.886,2.051,0.257,0.097,0.066,0.064,11.7,6,13000,610,1.1,4.8,135
2017-08-21,26.4,7.5,8.8,1.1,6.1,9.4,247,2.889,2.849,2.091,0.097,0.066,0.062,0.053,7.9,4.2,10300,176,0.7,1.7,209
2017-08-28,27.1,8,9.8,1.6,6.8,9,231,2.838,2.676,2.125,0.035,0.065,0.043,0.036,17.9,4.9,220,14,1.1,8.3,1400
2017-09-04,26,8.6,10.3,1.9,6.9,6.8,265,2.731,2.541,2.115,0.025,0.05,0.024,0.016,28.8,4.4,80,3,0.7,6.4,8380
2017-09-12,24.8,8.4,9.3,2.3,7.7,11.2,305,2.701,2.467,1.941,0.045,0.059,0.024,0.009,34.2,5.1,890,7,0.8,9.4,20600
2017-09-18,23.5,8.3,9.5,1.6,6.8,8.6,337,2.686,2.493,1.936,0.062,0.042,0.023,0.012,34.6,4.8,78,1,1.1,10,8629
2017-09-25,23.5,8.5,10.9,2,7.3,10.2,308,2.048,2.025,1.507,0.025,0.05,0.028,0,45.3,5.1,133,1,0.7,8.5,8660
2017-10-10,22,8.5,11.9,2.4,6.8,8.8,349,2.46,2.263,1.731,0.032,0.034,0.014,0.003,39.4,4.5,92,0,0.9,7.2,20346
2017-10-16,19.9,8.3,11,1.5,6.2,7.2,337,2.229,2.174,1.618,0.023,0.029,0.011,0.005,27.1,3.9,216,0,0.9,0.4,9329
2017-10-23,18.6,8.3,9,1.2,6,7,394,2.965,2.885,2.193,0.026,0.03,0.014,0.005,19,3.9,114,0,1.1,9.5,11345
2017-10-30,17.5,8.7,10.7,1.5,6.5,6.8,374,3.046,2.527,1.612,0.027,0.029,0.016,0,27.1,4.2,98,0,0.9,9.4,8176
2017-11-06,15.4,8.8,11.6,2.2,6.4,6.6,396,3.095,2.702,1.786,0.019,0.039,0.019,0,28.6,4.2,90,1,0.7,8.9,6190
2017-11-13,14,8.7,11.1,1.8,6.6,5.2,423,3.127,2.998,1.912,0.029,0.034,0.007,0,19.5,3.9,80,0,0.6,5.6,7521
2017-11-20,11.2,8.1,10.4,1.2,5.9,1.6,501,3.552,3.323,2.347,0.066,0.029,0.02,0.007,5,3.6,100,0,1.1,8.6,3573
2017-11-27,9,7.8,11.2,1.1,6,2.4,535,3.997,3.89,2.761,0.078,0.033,0.022,0.005,5.3,3.8,112,0,0.5,8.2,612
2017-12-04,7.5,7.9,11.9,1.5,6.6,3,549,3.865,3.856,2.697,0.056,0.029,0.02,0,7.3,4.1,118,1,1.5,7,360
2017-12-11,5.8,7.8,10.3,1.9,6.3,4,540,4.498,4.276,2.635,0.028,0.022,0.013,0,11.4,4.4,82,3,2.5,7.3,112
2017-12-18,3.4,7.8,12.3,2.6,6.5,6.8,601,4.809,4.759,3.096,0.045,0.023,0.011,0,19.9,4.5,11,0,1.1,5.7,256
2017-12-26,4.6,7.8,13.4,1.9,6.4,5.4,607,5.688,4.602,3.206,0.139,0.018,0.007,0,12.4,4.3,20,0,1.8,6.7,200
2018-01-02,4.3,7.7,13.8,2,5.8,5.8,578,4.544,4.469,3.114,0.261,0.026,0.013,0,13.9,4.2,4,2,0.9,5.5,156
2018-01-08,3.5,7.6,14.6,1.9,6.3,7.4,598,5.126,4.974,3.377,0.324,0.03,0.02,0,20.7,4.9,11,2,0.9,0,0.001
2018-01-15,3.7,7.7,14.6,2.1,6.4,7.4,579,4.398,4.295,3.26,0.338,0.034,0.013,0,19.4,4.8,7,0,1.2,8.4,0.001
2018-01-22,5.5,7.9,13.8,2,6.4,7.2,581,5.397,5.151,3.503,0.182,0.028,0.011,0,25.4,5,5,0,1.3,5,59
2018-01-29,1.5,7.8,14.9,2.2,6.4,6.2,595,5.74,5.5,3.746,0.21,0.031,0.012,0,20.5,4.8,2,1,1.8,8.8,0.001
2018-02-05,2.3,8.1,15.3,2.3,7,6.6,694,5.371,5.171,4.383,0.219,0.023,0.007,0,30.4,5.2,3,0,2.1,8.8,0.001
2018-02-12,3.9,8,14.5,3.4,7.6,6.4,679,5.138,4.866,4.266,0.14,0.029,0.015,0,37.7,5.5,1,0,2.3,6.1,0.001
2018-02-19,3.1,8.2,15,2.3,7,8.6,629,4.82,4.585,3.871,0.129,0.029,0.008,0,28.9,5.2,1,0,0.9,7.2,35
2018-02-26,5,8.3,14.4,4.5,9,7.4,629,4.775,4.632,4.024,0.11,0.035,0.013,0,27,7,0,0,1,10.3,0.001
2018-03-06,7.1,8,13.4,2.5,7.3,10.2,591,4.741,4.638,3.567,0.251,0.029,0.013,0,36.6,5.4,200,11,1.4,10.6,0.001
2018-03-12,7.5,8,14.8,3.3,7.8,15.8,442,4.037,3.707,2.857,0.368,0.05,0.013,0,70,6.2,1030,76,1.5,10.4,0.001
2018-03-20,9.6,7.9,12.4,3.4,7.9,18.8,371,3.806,3.588,3.007,0.102,0.044,0.011,0.003,44.2,5.5,3550,18,5,3.3,0.001
2018-03-26,10.7,8,13.8,3.6,8.4,15.8,327,4.077,3.781,3.199,0.079,0.047,0.022,0.004,61.4,6.5,124,5,1.4,11.6,90
2018-04-02,12.6,8.7,15.7,3.8,7.8,8.8,329,3.94,3.644,3.102,0.018,0.049,0.018,0.003,32.8,6.1,30,0,1.9,9.7,194
2018-04-09,12.4,7.7,14.8,2.9,6.2,12.2,291,3.511,3.374,2.736,0.169,0.052,0.019,0.003,31.3,5.1,2400,256,1.2,11.5,293
2018-04-16,14.2,8.3,16.3,2.6,8.5,9.2,286,3.794,3.66,3.127,0.024,0.054,0.016,0,40.8,5.1,450,12,1.1,9.8,172
2018-04-24,15.3,7.9,10.8,3.1,7.5,9.6,286,3.337,3.161,2.539,0.051,0.039,0.012,0.003,39.7,4.9,13000,770,1.7,0,109
2018-04-30,17.3,8.5,13.7,3,7.4,12.4,264,3.499,3.338,2.78,0.023,0.029,0.01,0,62.1,5.8,244,9,2,10.6,1153
2018-05-08,17.6,8.2,10.1,2.4,6.7,16.4,282,2.986,2.849,2.381,0.04,0.033,0.012,0,52.9,5.2,700,100,2.7,0.6,254
2018-05-14,18.9,8.4,10.5,2.1,6.2,7.2,293,2.808,2.678,2.174,0.063,0.024,0.013,0,24.1,5.1,2550,7,1.2,11.6,39
2018-05-23,21.3,7.9,9,1.2,6.1,10.2,293,2.952,2.899,2.262,0.079,0.026,0.016,0.007,12.1,4.8,25500,5,1.4,10.5,129
2018-05-28,21.6,8.3,8.7,1.5,5.6,3.6,308,2.994,2.786,2.125,0.073,0.02,0.012,0.006,9.7,4.5,24250,2,1.4,7.8,1665
2018-06-04,24.1,8.4,8.6,1.6,5.8,2.8,340,2.626,2.484,1.945,0.095,0.03,0.018,0,9.4,4.5,40750,4,1.4,8.9,3327
2018-06-11,24.5,8.3,8.4,1.8,6.3,4,376,2.917,2.732,1.998,0.109,0.027,0.014,0.003,21.2,4.9,13000,5,1.2,0.6,4925
2018-06-18,24,8.2,7.7,2.1,6.4,3.2,394,2.757,2.656,1.9,0.127,0.027,0.02,0.006,16.9,4.5,28000,1,1.5,10.4,12294
2018-06-25,26,9,12.4,3.1,7.8,6.8,406,2.434,2.287,1.592,0.037,0.028,0.018,0,22.4,5.6,13500,17,1.2,10,74297
2018-07-06,22.1,7.1,8.2,2,9.4,45.6,165,3.074,2.956,2.326,0.145,0.135,0.092,0.083,8.6,7.2,82000,2750,1.1,0,57
2018-07-09,22.1,7.2,8.8,1.3,8.8,23.2,188,3.216,3.208,2.559,0.128,0.11,0.094,0.09,6.4,6.6,68000,2700,0.7,0,118
2018-07-16,26,7.7,9.6,2.2,8.8,12.8,239,3.537,3.264,2.529,0.049,0.082,0.049,0.044,15.7,6.4,230000,98,1.5,12,1064
2018-07-23,28.6,8,6.5,1.6,8.1,6.4,267,2.911,2.679,2.136,0.091,0.041,0.027,0.015,15.8,5.9,46000,1420,1.2,11.9,9958
2018-07-30,31.2,9.1,10.2,3.5,10.4,13.2,292,2.319,2.199,1.599,0.018,0.038,0.022,0.004,57.2,6.8,2750,29,1.5,6.1,250000
2018-08-06,31.1,9.4,11.1,3,12.1,18.8,319,1.814,1.635,1.057,0.023,0.036,0.024,0,59.5,8.2,1110,28,1.2,8.2,245500
2018-08-13,30.2,9.3,8.5,3.8,10.1,15.3,401,2.034,1.939,1.219,0.039,0.103,0.063,0.013,63,6.7,10000,620,1.3,11.2,221500
2018-08-20,29,9,8.8,2.8,9.8,16,375,2.149,2.143,1.47,0.049,0.068,0.049,0.008,52.6,7.7,154000,1000,1.5,12,236000
2018-08-28,24.7,7.3,7.3,3.9,7.7,33,221,2.576,2.531,1.79,0.173,0.121,0.091,0.082,17.5,5.8,390000,7200,1.2,8.2,4640
2018-09-03,24.2,7.3,9,1.7,6.3,9.2,189,2.75,2.734,2.12,0.089,0.095,0.076,0.069,7.9,4.6,81000,3350,0.5,0,822
2018-09-10,22.8,7,8.9,0.9,6.4,9.6,172,2.598,2.565,1.984,0.08,0.101,0.082,0.078,4.7,4.3,31000,430,1.6,11,512
2018-09-17,23,7.2,9.1,1.2,6.4,6.8,216,2.776,2.68,2.269,0.036,0.089,0.07,0.064,9.4,4.6,25000,740,0.7,6.4,1321
2018-09-27,21.5,7.1,9.4,1.4,5.7,16,255,2.976,2.941,2.228,0.114,0.081,0.072,0.068,6.4,4.3,18750,410,1.4,10.5,631
2018-10-01,21.2,7.1,9.6,1,5.3,8,255,3.01,2.926,2.283,0.054,0.073,0.062,0.057,8.2,4.2,44000,148,2.1,7.8,874
2018-10-15,17.4,6.8,14,1.3,7.7,18.8,194,2.785,2.747,2.07,0.118,0.094,0.071,0.064,7.2,5.7,17750,910,0.8,8.5,250
2018-10-22,16.8,7.2,11.1,1.7,7.4,16,244,2.8,2.751,2.252,0.027,0.057,0.035,0.031,13.4,6,3850,158,0.7,5.6,0.001
2018-10-29,15.8,7,10.7,1.4,7.6,7.6,269,3.047,3.025,2.403,0.031,0.041,0.033,0.02,17.7,5.3,4850,49,1.2,5.8,338
2018-11-05,14.3,7.6,12.3,1.6,7.4,9.6,311,3.368,3.155,2.69,0.02,0.033,0.021,0.007,32.2,5.4,16000,60,0.6,9.1,677
2018-11-12,14.2,7.6,10.4,1.5,7.4,10,323,3.278,3.222,2.542,0.034,0.032,0.019,0.004,33.2,5.2,12250,110,1,6.6,534
2018-11-19,12.8,8.1,7.6,2,7.8,12.8,354,3.307,3.226,2.489,0.026,0.019,0.011,0,53.7,5.7,2850,23,0.8,8.4,209
2018-11-26,10.4,7.7,12.5,1.4,6.5,10.8,386,3.477,3.472,2.966,0.017,0.032,0.012,0,26.8,4.9,4450,21,0.7,5.9,101
2018-12-03,9.6,7.7,13.4,1.8,5.7,8.8,430,3.775,3.698,3.193,0.029,0.031,0.012,0,29.7,4.1,650,17,0.5,0.5,1132
2018-12-10,6.7,7.2,12.5,1.5,5.4,8,462,3.738,3.604,3.189,0.044,0.031,0.012,0,17.2,3.9,1310,24,0.8,8.2,209
2018-12-17,4.7,7.2,14.5,2.2,5.5,10.4,430,3.492,3.256,2.938,0.066,0.035,0.013,0,24,4.1,760,10,1.1,5.5,165
2018-12-24,5.9,7.4,13.8,2.4,5.7,10.4,489,4.186,3.93,3.54,0.09,0.036,0.012,0,19.2,3.4,800,14,0.8,7.9,52
